beta.,lambda.,p.,nu.,rho.,delta.,y
0.48703648618892703,0,0.01370915204853545,0.6238147958364448,0.3144567758247534,0.07823619210736243,16996.196655148862
0.49997807382357334,0,0.01206095790521463,0.5766398691557624,0.3588260098146842,0.07937086339024363,17208.979945407293
0.49991953448151183,0,0.012232211700061602,0.5887377859330158,0.3010063486432439,0.07825936377202307,17884.43270592517
0.4973354296245434,0,0.009467683099214724,0.6445626257283987,0.29251542786022044,0.0805458872068275,18043.48000074673
0.4151042901730759,0,0.010763494119467781,0.623643870959968,0.2949028902769279,0.06569485540838507,19493.803166269074
0.49983971062647736,0,0.015110592953886382,0.584649871218834,0.32008867145737313,0.08418744830273878,19876.850740972637
0.47469791458009297,0,0.015186023743607103,0.6531945276313743,0.3237820533604419,0.07381282538118715,20560.10762835559
0.40590282509234693,0,0.01230639237767373,0.5946507903060534,0.3204418218113103,0.07801745205236688,21232.03894963203
0.43417632883425084,0,0.0048692855866581735,0.7163923603726401,0.24502385672284033,0.06795858201265742,21587.16244118503
0.472047656542207,0,0.002061663115116417,0.6328812278009154,0.20781236869932312,0.06610165191819105,22442.42332283667
0.49765979963688944,0,0.0040579922414491,0.7286332701909163,0.32269038861069865,0.0697343690013447,22629.170335493316
0.365072154474631,0,0.005642328962662424,0.7497169930300678,0.2584216511280374,0.0633903405108069,22873.95383378805
0.4996066651255377,0,0.00981918533088603,0.7038409416468154,0.20040730102778886,0.06767307696623372,23094.21960616434
0.4999294216205687,0,0.013854899826731853,0.25666697959696805,0.34387613190679867,0.08173039299488534,23119.145441269793
0.455391295561567,0,0.005461650223610923,0.5127994219656102,0.22468349191593007,0.07013391108252108,23126.695721949083
0.39184318830321674,0,0.014034357542161476,0.6755795172738878,0.40855275097932003,0.06743624005744876,23813.431634838747
0.38091050771857266,0,0.019725925513696313,0.7411345195687419,0.2015739763522977,0.0690454763461472,27967.500082637715
0.4997193705253501,0,0.005357140346787475,0.7497734733380689,0.24011281823460504,0.06105259178478518,29668.55445775601
0.3853724436282355,0,0.002031613095814302,0.694003187074979,0.49960279604516905,0.07000136688702384,36863.75871691168
0.35313841602100876,0,0.012520762403462688,0.7492624580241054,0.20906339868972218,0.020167031293693884,36929.56570067438
0.22337893244810403,0,0.01848019383326173,0.415293244831264,0.4928971067094244,0.07967382456082851,47606.442620006615
0.48477297158911825,0,0.0097763887448236355,0.2839733387110755,0.35199172914261,0.0422959267841652,49458.76920573307
0.13500387427397073,0,0.012993351713940502,0.3247021509101614,0.27319767073728146,0.03282395596941933,55146.00052262292
0.20328397485101446,0,0.002045392555979252,0.6765673429307538,0.20001894897293507,0.06923065467671957,56837.7637604379
0.29841729112900794,0,0.007843252583453433,0.6405150202219374,0.23212016839766875,0.10875853082351387,68590.4860464312
0.17007673034444454,0,0.003282659007469192,0.5670221367501653,0.4672763405740261,0.12341377143515275,71558.30366080608
0.20126730756834152,0,0.012602578381309288,0.37674055256647987,0.4062072048662231,0.14127678892947734,73392.50813369728
0.41129295530729004,0,0.017247161403158684,0.6813599542481825,0.2926841036882252,0.15794584657019003,73998.75529634488
0.32284365585073826,0,0.015511581223225223,0.4525897301500663,0.41839016923680905,0.1666378205511719,75426.91668980439
0.37198956117965287,0,0.006822411133442075,0.712277857796289,0.33925427320413293,0.19577402754034848,76441.8652506596
