beta.,lambda.,p.,nu.,rho.,delta.,y
0.29635935359511034,0,0.014753471964259754,0.7974544943748021,0.43412852702826216,0.05086662466336851,40.388201702686345
0.2658491522999539,0,0.019962872706937966,0.6894705007831022,0.42101762840926454,0.04736173146457549,46.91387961701398
0.28198604636442615,0,0.01920606710297434,0.7952213025647955,0.3707199776021167,0.04767612328243172,55.11127594395362
0.29764932904391894,0,0.019932529418370357,0.7489801397307304,0.4500336049049765,0.05075786550617754,56.591613683520244
0.29907008046656847,0,0.015884917411617936,0.7264729533493519,0.41458562221005557,0.043276236757263546,62.96859616260336
0.3137631145836494,0,0.015196892502081815,0.6214467683204788,0.48334356056701683,0.05693077317079262,67.9771878053494
0.25766593604543014,0,0.01998576787780931,0.6111072090912838,0.2875313168858167,0.03764849700403679,81.75353600747626
0.26528695682769177,0,0.014816178923177666,0.6949825354111462,0.4300214252546972,0.046584228499869554,83.82615715149451
0.2378348794620193,0,0.019996210380680973,0.5438047407675194,0.4299495425042758,0.03924094177747931,90.06878805848585
0.413821885274302,0,0.011466061264201638,0.5825917089065983,0.513820220709185,0.07120953482359998,90.54240250266085
0.29311453304590473,0,0.006490126274760202,0.6871781797966504,0.42354119282879,0.04294280251605695,93.90822228360037
0.26563621221485667,0,0.01633702449442924,0.7993697216267059,0.5869080095741549,0.045472086110997394,94.87312175308458
0.2690829303529697,0,0.0020447727479063487,0.41454961520394873,0.20132428948111683,0.0327647439160446,95.16156008482808
0.4075642129301559,0,0.003280441002024989,0.4913882528451791,0.4230320180806387,0.06443067852592835,106.32265239553182
0.3421522312387824,0,0.006211489137317986,0.7374016029797494,0.4267847662530839,0.052761268945038325,109.47271932343166
0.24412628670036796,0,0.0067730099152773626,0.5237032344141044,0.4547886887267232,0.032496185847744344,115.37118692120487
0.4121654188001005,0,0.011383138863363408,0.7984680458993627,0.4742482661596199,0.06385810711648018,119.49556176753704
0.36686256778368836,0,0.01226383454091962,0.5676287978207544,0.5998094539158013,0.06288336914367218,124.70096241855656
0.3264579166901996,0,0.00276403236271819,0.7987140001877534,0.596439771747302,0.0735028298466152,148.6391388105042
0.2817726622995688,0,0.014184678346500798,0.3319282108687269,0.4452148889829323,0.04862330404801992,151.27997053087077
0.4488089631013572,0,0.01432330755725503,0.5057701212661341,0.377146617397666,0.058272557969577615,151.80034764739932
0.4231961788656159,0,0.01606018534991759,0.25684894101009736,0.4199873166080562,0.06972903131668659,171.97972240208574
0.4652170075320441,0,0.007181255900023083,0.5377343366070221,0.3546921589764982,0.07863385331366853,172.13942472609102
0.3588155853880687,0,0.01996444092446647,0.731891629962989,0.24337423694013985,0.05861425514495007,180.59331676031064
0.30822925378466015,0,0.010498076226932294,0.7850448141705152,0.20250641466612662,0.05310125141661933,208.68422633957212
0.17836658676341177,0,0.013957299514170738,0.7770765747725964,0.30881367772445084,0.040321254491806034,223.89957619495965
0.4181397386246397,0,0.01137245747331705,0.5143593912458861,0.4070274479760381,0.04913372295633057,248.6302722666174
0.3481194000541116,0,0.019754130704244022,0.774935723397507,0.36963483879102854,0.03957028922123634,261.6628102892225
0.23962545692746617,0,0.01749526532750468,0.7495249950728141,0.42948673837475937,0.020816520656297174,293.6782803197068
0.28445989740267397,0,0.019666367012485864,0.4505407445845194,0.5586821895949543,0.09458929314389826,312.6847934629593
0.21106773750111463,0,0.010084962421804667,0.6871303181718104,0.32287755187228323,0.06988487127628178,344.1729702690011
0.4590448181554675,0,0.016786787246577443,0.28667656797310337,0.33559824344143274,0.11629102054424585,352.53823352361087
0.10002087442460468,0,0.0020062450207314103,0.32543904904009224,0.4377375171412577,0.034055668466797515,353.5640674033463
0.3587180585004389,0,0.005246955495700241,0.3790486403396353,0.35871167181059715,0.10342601038776339,356.68891269575266
0.15738323314860464,0,0.015512682046648116,0.44604862427525227,0.45840207559615376,0.07536309440359475,357.4036678572109
0.26035716077685356,0,0.00212739193642512,0.6071904901643284,0.5168831184878946,0.11209399483129384,367.62520619892416
0.12153463749587537,0,0.004803022523913533,0.49121033870056274,0.27502169574797153,0.08345902940519155,378.28532159338675
0.4172395694628358,0,0.007320457490719855,0.5487083435058594,0.5439112492427229,0.14925341233722866,379.48851552235465
0.14669221533089877,0,0.008641998976971954,0.4036345690167509,0.26005597934871916,0.08493018948361279,381.2345595333883
0.3346838904581964,0,0.018351289793457834,0.2514295069645159,0.47390038380399346,0.13369990401603282,381.7864059616075
0.49027449382096533,0,0.01120524949491024,0.7920603801663966,0.22568943654000762,0.13551941231898965,384.500638613269
0.18572500311210752,0,0.002840678096525371,0.34816568542923776,0.29597091978788376,0.12374281648956241,386.55480382416863
0.10865604005381466,0,0.008274448270425202,0.5824841428659857,0.5730503321625292,0.16268456724695862,392.04128442123596
0.3975639504082501,0,0.012675336597189309,0.6671756297815592,0.5979801817834377,0.16820558464694768,392.4604170230655
0.21608289211243392,0,0.011892605445291849,0.3034445121162571,0.21403480282053353,0.1827735436299816,393.1559687553008
0.23806563114002346,0,0.009596932942904533,0.5616963210860269,0.23453871650993824,0.15622706460095942,393.5950011482978
0.423670925334096,0,0.017778623075149956,0.3257702217842452,0.5014816241748631,0.19346175783183425,394.3890772192161
0.37877264859899884,0,0.01863116169072688,0.41919810748891906,0.3957082267329097,0.18943323213029653,394.97547087240156
0.31266925847902893,0,0.004053208888433874,0.7041381636564621,0.37500478582084174,0.1774527424108237,394.97547087240156
0.48254331444948917,0,0.013295908166132868,0.642388790933881,0.5331169269122182,0.020207807449251415,1352.4471173544407
